split,image_file,mask_file,image_path,mask_path,image_size_bytes,mask_size_bytes,width,height,channels,format
train,image_1110.png,mask_1110.png,data/dataset/train/images\image_1110.png,data/dataset/train/masks\mask_1110.png,26482,578,128,128,4,PNG
train,image_1111.png,mask_1111.png,data/dataset/train/images\image_1111.png,data/dataset/train/masks\mask_1111.png,29788,786,128,128,4,PNG
train,image_1114.png,mask_1114.png,data/dataset/train/images\image_1114.png,data/dataset/train/masks\mask_1114.png,28795,659,128,128,4,PNG
train,image_1115.png,mask_1115.png,data/dataset/train/images\image_1115.png,data/dataset/train/masks\mask_1115.png,25902,503,128,128,4,PNG
train,image_1124.png,mask_1124.png,data/dataset/train/images\image_1124.png,data/dataset/train/masks\mask_1124.png,29107,530,128,128,4,PNG
train,image_1130.png,mask_1130.png,data/dataset/train/images\image_1130.png,data/dataset/train/masks\mask_1130.png,25118,528,128,128,4,PNG
train,image_1131.png,mask_1131.png,data/dataset/train/images\image_1131.png,data/dataset/train/masks\mask_1131.png,24518,602,128,128,4,PNG
train,image_1132.png,mask_1132.png,data/dataset/train/images\image_1132.png,data/dataset/train/masks\mask_1132.png,26686,826,128,128,4,PNG
train,image_1133.png,mask_1133.png,data/dataset/train/images\image_1133.png,data/dataset/train/masks\mask_1133.png,27490,521,128,128,4,PNG
train,image_1134.png,mask_1134.png,data/dataset/train/images\image_1134.png,data/dataset/train/masks\mask_1134.png,29980,670,128,128,4,PNG
train,image_1135.png,mask_1135.png,data/dataset/train/images\image_1135.png,data/dataset/train/masks\mask_1135.png,28181,687,128,128,4,PNG
train,image_1136.png,mask_1136.png,data/dataset/train/images\image_1136.png,data/dataset/train/masks\mask_1136.png,28633,994,128,128,4,PNG
train,image_1137.png,mask_1137.png,data/dataset/train/images\image_1137.png,data/dataset/train/masks\mask_1137.png,26829,1006,128,128,4,PNG
train,image_1141.png,mask_1141.png,data/dataset/train/images\image_1141.png,data/dataset/train/masks\mask_1141.png,31801,1276,128,128,4,PNG
train,image_1142.png,mask_1142.png,data/dataset/train/images\image_1142.png,data/dataset/train/masks\mask_1142.png,29473,967,128,128,4,PNG
train,image_1143.png,mask_1143.png,data/dataset/train/images\image_1143.png,data/dataset/train/masks\mask_1143.png,27368,818,128,128,4,PNG
train,image_1144.png,mask_1144.png,data/dataset/train/images\image_1144.png,data/dataset/train/masks\mask_1144.png,29178,746,128,128,4,PNG
train,image_1145.png,mask_1145.png,data/dataset/train/images\image_1145.png,data/dataset/train/masks\mask_1145.png,26115,896,128,128,4,PNG
train,image_1147.png,mask_1147.png,data/dataset/train/images\image_1147.png,data/dataset/train/masks\mask_1147.png,28387,913,128,128,4,PNG
train,image_1149.png,mask_1149.png,data/dataset/train/images\image_1149.png,data/dataset/train/masks\mask_1149.png,28545,1012,128,128,4,PNG
train,image_1151.png,mask_1151.png,data/dataset/train/images\image_1151.png,data/dataset/train/masks\mask_1151.png,26396,555,128,128,4,PNG
train,image_1152.png,mask_1152.png,data/dataset/train/images\image_1152.png,data/dataset/train/masks\mask_1152.png,24293,734,128,128,4,PNG
train,image_1153.png,mask_1153.png,data/dataset/train/images\image_1153.png,data/dataset/train/masks\mask_1153.png,28321,765,128,128,4,PNG
train,image_1156.png,mask_1156.png,data/dataset/train/images\image_1156.png,data/dataset/train/masks\mask_1156.png,27535,512,128,128,4,PNG
train,image_1157.png,mask_1157.png,data/dataset/train/images\image_1157.png,data/dataset/train/masks\mask_1157.png,28998,633,128,128,4,PNG
train,image_116.png,mask_116.png,data/dataset/train/images\image_116.png,data/dataset/train/masks\mask_116.png,27247,684,128,128,4,PNG
train,image_1168.png,mask_1168.png,data/dataset/train/images\image_1168.png,data/dataset/train/masks\mask_1168.png,31493,509,128,128,4,PNG
train,image_1175.png,mask_1175.png,data/dataset/train/images\image_1175.png,data/dataset/train/masks\mask_1175.png,28267,751,128,128,4,PNG
train,image_1176.png,mask_1176.png,data/dataset/train/images\image_1176.png,data/dataset/train/masks\mask_1176.png,29802,720,128,128,4,PNG
train,image_1180.png,mask_1180.png,data/dataset/train/images\image_1180.png,data/dataset/train/masks\mask_1180.png,23761,817,128,128,4,PNG
train,image_1181.png,mask_1181.png,data/dataset/train/images\image_1181.png,data/dataset/train/masks\mask_1181.png,27160,774,128,128,4,PNG
train,image_1182.png,mask_1182.png,data/dataset/train/images\image_1182.png,data/dataset/train/masks\mask_1182.png,24898,594,128,128,4,PNG
train,image_1184.png,mask_1184.png,data/dataset/train/images\image_1184.png,data/dataset/train/masks\mask_1184.png,29073,1011,128,128,4,PNG
train,image_1185.png,mask_1185.png,data/dataset/train/images\image_1185.png,data/dataset/train/masks\mask_1185.png,30030,1230,128,128,4,PNG
train,image_1186.png,mask_1186.png,data/dataset/train/images\image_1186.png,data/dataset/train/masks\mask_1186.png,28706,1080,128,128,4,PNG
train,image_1187.png,mask_1187.png,data/dataset/train/images\image_1187.png,data/dataset/train/masks\mask_1187.png,30372,1260,128,128,4,PNG
train,image_1188.png,mask_1188.png,data/dataset/train/images\image_1188.png,data/dataset/train/masks\mask_1188.png,25794,852,128,128,4,PNG
train,image_1189.png,mask_1189.png,data/dataset/train/images\image_1189.png,data/dataset/train/masks\mask_1189.png,28410,663,128,128,4,PNG
train,image_1192.png,mask_1192.png,data/dataset/train/images\image_1192.png,data/dataset/train/masks\mask_1192.png,26535,724,128,128,4,PNG
train,image_1193.png,mask_1193.png,data/dataset/train/images\image_1193.png,data/dataset/train/masks\mask_1193.png,29360,655,128,128,4,PNG
train,image_1194.png,mask_1194.png,data/dataset/train/images\image_1194.png,data/dataset/train/masks\mask_1194.png,23505,519,128,128,4,PNG
train,image_1195.png,mask_1195.png,data/dataset/train/images\image_1195.png,data/dataset/train/masks\mask_1195.png,25628,703,128,128,4,PNG
train,image_1196.png,mask_1196.png,data/dataset/train/images\image_1196.png,data/dataset/train/masks\mask_1196.png,28242,551,128,128,4,PNG
train,image_1200.png,mask_1200.png,data/dataset/train/images\image_1200.png,data/dataset/train/masks\mask_1200.png,28287,556,128,128,4,PNG
train,image_1201.png,mask_1201.png,data/dataset/train/images\image_1201.png,data/dataset/train/masks\mask_1201.png,25600,530,128,128,4,PNG
train,image_1212.png,mask_1212.png,data/dataset/train/images\image_1212.png,data/dataset/train/masks\mask_1212.png,27521,610,128,128,4,PNG
train,image_1219.png,mask_1219.png,data/dataset/train/images\image_1219.png,data/dataset/train/masks\mask_1219.png,26776,874,128,128,4,PNG
train,image_122.png,mask_122.png,data/dataset/train/images\image_122.png,data/dataset/train/masks\mask_122.png,29636,560,128,128,4,PNG
train,image_1220.png,mask_1220.png,data/dataset/train/images\image_1220.png,data/dataset/train/masks\mask_1220.png,26981,767,128,128,4,PNG
train,image_1226.png,mask_1226.png,data/dataset/train/images\image_1226.png,data/dataset/train/masks\mask_1226.png,24611,808,128,128,4,PNG
train,image_1227.png,mask_1227.png,data/dataset/train/images\image_1227.png,data/dataset/train/masks\mask_1227.png,28124,1095,128,128,4,PNG
train,image_1228.png,mask_1228.png,data/dataset/train/images\image_1228.png,data/dataset/train/masks\mask_1228.png,27629,927,128,128,4,PNG
train,image_1229.png,mask_1229.png,data/dataset/train/images\image_1229.png,data/dataset/train/masks\mask_1229.png,30495,1135,128,128,4,PNG
train,image_1230.png,mask_1230.png,data/dataset/train/images\image_1230.png,data/dataset/train/masks\mask_1230.png,29396,1007,128,128,4,PNG
train,image_1231.png,mask_1231.png,data/dataset/train/images\image_1231.png,data/dataset/train/masks\mask_1231.png,30522,1111,128,128,4,PNG
train,image_1232.png,mask_1232.png,data/dataset/train/images\image_1232.png,data/dataset/train/masks\mask_1232.png,30606,1276,128,128,4,PNG
train,image_1233.png,mask_1233.png,data/dataset/train/images\image_1233.png,data/dataset/train/masks\mask_1233.png,27756,886,128,128,4,PNG
train,image_1234.png,mask_1234.png,data/dataset/train/images\image_1234.png,data/dataset/train/masks\mask_1234.png,27405,914,128,128,4,PNG
train,image_1236.png,mask_1236.png,data/dataset/train/images\image_1236.png,data/dataset/train/masks\mask_1236.png,26709,503,128,128,4,PNG
train,image_1237.png,mask_1237.png,data/dataset/train/images\image_1237.png,data/dataset/train/masks\mask_1237.png,28960,566,128,128,4,PNG
train,image_1238.png,mask_1238.png,data/dataset/train/images\image_1238.png,data/dataset/train/masks\mask_1238.png,26810,717,128,128,4,PNG
train,image_124.png,mask_124.png,data/dataset/train/images\image_124.png,data/dataset/train/masks\mask_124.png,28060,544,128,128,4,PNG
train,image_1244.png,mask_1244.png,data/dataset/train/images\image_1244.png,data/dataset/train/masks\mask_1244.png,28531,529,128,128,4,PNG
train,image_1245.png,mask_1245.png,data/dataset/train/images\image_1245.png,data/dataset/train/masks\mask_1245.png,33410,514,128,128,4,PNG
train,image_1247.png,mask_1247.png,data/dataset/train/images\image_1247.png,data/dataset/train/masks\mask_1247.png,29227,535,128,128,4,PNG
train,image_1248.png,mask_1248.png,data/dataset/train/images\image_1248.png,data/dataset/train/masks\mask_1248.png,30614,544,128,128,4,PNG
train,image_1250.png,mask_1250.png,data/dataset/train/images\image_1250.png,data/dataset/train/masks\mask_1250.png,28363,615,128,128,4,PNG
train,image_1252.png,mask_1252.png,data/dataset/train/images\image_1252.png,data/dataset/train/masks\mask_1252.png,32569,566,128,128,4,PNG
train,image_126.png,mask_126.png,data/dataset/train/images\image_126.png,data/dataset/train/masks\mask_126.png,30659,595,128,128,4,PNG
train,image_1264.png,mask_1264.png,data/dataset/train/images\image_1264.png,data/dataset/train/masks\mask_1264.png,25449,563,128,128,4,PNG
train,image_1267.png,mask_1267.png,data/dataset/train/images\image_1267.png,data/dataset/train/masks\mask_1267.png,26613,577,128,128,4,PNG
train,image_1269.png,mask_1269.png,data/dataset/train/images\image_1269.png,data/dataset/train/masks\mask_1269.png,25107,545,128,128,4,PNG
train,image_127.png,mask_127.png,data/dataset/train/images\image_127.png,data/dataset/train/masks\mask_127.png,30786,901,128,128,4,PNG
train,image_1271.png,mask_1271.png,data/dataset/train/images\image_1271.png,data/dataset/train/masks\mask_1271.png,27334,968,128,128,4,PNG
train,image_1272.png,mask_1272.png,data/dataset/train/images\image_1272.png,data/dataset/train/masks\mask_1272.png,26177,822,128,128,4,PNG
train,image_1273.png,mask_1273.png,data/dataset/train/images\image_1273.png,data/dataset/train/masks\mask_1273.png,29357,1028,128,128,4,PNG
train,image_1275.png,mask_1275.png,data/dataset/train/images\image_1275.png,data/dataset/train/masks\mask_1275.png,30611,1262,128,128,4,PNG
train,image_1278.png,mask_1278.png,data/dataset/train/images\image_1278.png,data/dataset/train/masks\mask_1278.png,25801,942,128,128,4,PNG
train,image_1279.png,mask_1279.png,data/dataset/train/images\image_1279.png,data/dataset/train/masks\mask_1279.png,25855,504,128,128,4,PNG
train,image_1280.png,mask_1280.png,data/dataset/train/images\image_1280.png,data/dataset/train/masks\mask_1280.png,25750,773,128,128,4,PNG
train,image_1281.png,mask_1281.png,data/dataset/train/images\image_1281.png,data/dataset/train/masks\mask_1281.png,25266,657,128,128,4,PNG
train,image_1282.png,mask_1282.png,data/dataset/train/images\image_1282.png,data/dataset/train/masks\mask_1282.png,28631,576,128,128,4,PNG
train,image_1287.png,mask_1287.png,data/dataset/train/images\image_1287.png,data/dataset/train/masks\mask_1287.png,26982,736,128,128,4,PNG
train,image_129.png,mask_129.png,data/dataset/train/images\image_129.png,data/dataset/train/masks\mask_129.png,27275,698,128,128,4,PNG
train,image_1292.png,mask_1292.png,data/dataset/train/images\image_1292.png,data/dataset/train/masks\mask_1292.png,27967,572,128,128,4,PNG
train,image_13.png,mask_13.png,data/dataset/train/images\image_13.png,data/dataset/train/masks\mask_13.png,31370,644,128,128,4,PNG
train,image_130.png,mask_130.png,data/dataset/train/images\image_130.png,data/dataset/train/masks\mask_130.png,26890,703,128,128,4,PNG
train,image_1301.png,mask_1301.png,data/dataset/train/images\image_1301.png,data/dataset/train/masks\mask_1301.png,29585,533,128,128,4,PNG
train,image_1309.png,mask_1309.png,data/dataset/train/images\image_1309.png,data/dataset/train/masks\mask_1309.png,27518,608,128,128,4,PNG
train,image_131.png,mask_131.png,data/dataset/train/images\image_131.png,data/dataset/train/masks\mask_131.png,30322,871,128,128,4,PNG
train,image_1310.png,mask_1310.png,data/dataset/train/images\image_1310.png,data/dataset/train/masks\mask_1310.png,28600,578,128,128,4,PNG
train,image_1311.png,mask_1311.png,data/dataset/train/images\image_1311.png,data/dataset/train/masks\mask_1311.png,30273,588,128,128,4,PNG
train,image_1315.png,mask_1315.png,data/dataset/train/images\image_1315.png,data/dataset/train/masks\mask_1315.png,26545,763,128,128,4,PNG
train,image_1316.png,mask_1316.png,data/dataset/train/images\image_1316.png,data/dataset/train/masks\mask_1316.png,28329,622,128,128,4,PNG
train,image_132.png,mask_132.png,data/dataset/train/images\image_132.png,data/dataset/train/masks\mask_132.png,29119,697,128,128,4,PNG
train,image_1320.png,mask_1320.png,data/dataset/train/images\image_1320.png,data/dataset/train/masks\mask_1320.png,33374,1796,128,128,4,PNG
train,image_1321.png,mask_1321.png,data/dataset/train/images\image_1321.png,data/dataset/train/masks\mask_1321.png,29126,1008,128,128,4,PNG
train,image_1322.png,mask_1322.png,data/dataset/train/images\image_1322.png,data/dataset/train/masks\mask_1322.png,29026,1252,128,128,4,PNG
train,image_1323.png,mask_1323.png,data/dataset/train/images\image_1323.png,data/dataset/train/masks\mask_1323.png,31419,585,128,128,4,PNG
train,image_1325.png,mask_1325.png,data/dataset/train/images\image_1325.png,data/dataset/train/masks\mask_1325.png,25784,823,128,128,4,PNG
train,image_1327.png,mask_1327.png,data/dataset/train/images\image_1327.png,data/dataset/train/masks\mask_1327.png,27273,781,128,128,4,PNG
train,image_1333.png,mask_1333.png,data/dataset/train/images\image_1333.png,data/dataset/train/masks\mask_1333.png,30595,709,128,128,4,PNG
train,image_1335.png,mask_1335.png,data/dataset/train/images\image_1335.png,data/dataset/train/masks\mask_1335.png,28580,633,128,128,4,PNG
train,image_1336.png,mask_1336.png,data/dataset/train/images\image_1336.png,data/dataset/train/masks\mask_1336.png,30263,567,128,128,4,PNG
train,image_1337.png,mask_1337.png,data/dataset/train/images\image_1337.png,data/dataset/train/masks\mask_1337.png,26875,562,128,128,4,PNG
train,image_1339.png,mask_1339.png,data/dataset/train/images\image_1339.png,data/dataset/train/masks\mask_1339.png,29229,626,128,128,4,PNG
train,image_134.png,mask_134.png,data/dataset/train/images\image_134.png,data/dataset/train/masks\mask_134.png,27964,818,128,128,4,PNG
train,image_1340.png,mask_1340.png,data/dataset/train/images\image_1340.png,data/dataset/train/masks\mask_1340.png,27269,537,128,128,4,PNG
train,image_1343.png,mask_1343.png,data/dataset/train/images\image_1343.png,data/dataset/train/masks\mask_1343.png,26531,557,128,128,4,PNG
train,image_135.png,mask_135.png,data/dataset/train/images\image_135.png,data/dataset/train/masks\mask_135.png,24821,876,128,128,4,PNG
train,image_1357.png,mask_1357.png,data/dataset/train/images\image_1357.png,data/dataset/train/masks\mask_1357.png,30867,841,128,128,4,PNG
train,image_1359.png,mask_1359.png,data/dataset/train/images\image_1359.png,data/dataset/train/masks\mask_1359.png,28183,618,128,128,4,PNG
train,image_136.png,mask_136.png,data/dataset/train/images\image_136.png,data/dataset/train/masks\mask_136.png,30922,657,128,128,4,PNG
train,image_1361.png,mask_1361.png,data/dataset/train/images\image_1361.png,data/dataset/train/masks\mask_1361.png,28195,833,128,128,4,PNG
train,image_1364.png,mask_1364.png,data/dataset/train/images\image_1364.png,data/dataset/train/masks\mask_1364.png,27350,698,128,128,4,PNG
train,image_1365.png,mask_1365.png,data/dataset/train/images\image_1365.png,data/dataset/train/masks\mask_1365.png,27396,1070,128,128,4,PNG
train,image_1366.png,mask_1366.png,data/dataset/train/images\image_1366.png,data/dataset/train/masks\mask_1366.png,30585,1540,128,128,4,PNG
train,image_1368.png,mask_1368.png,data/dataset/train/images\image_1368.png,data/dataset/train/masks\mask_1368.png,31645,729,128,128,4,PNG
train,image_1369.png,mask_1369.png,data/dataset/train/images\image_1369.png,data/dataset/train/masks\mask_1369.png,27619,1498,128,128,4,PNG
train,image_1370.png,mask_1370.png,data/dataset/train/images\image_1370.png,data/dataset/train/masks\mask_1370.png,25861,976,128,128,4,PNG
train,image_1371.png,mask_1371.png,data/dataset/train/images\image_1371.png,data/dataset/train/masks\mask_1371.png,27003,954,128,128,4,PNG
train,image_1377.png,mask_1377.png,data/dataset/train/images\image_1377.png,data/dataset/train/masks\mask_1377.png,25585,546,128,128,4,PNG
train,image_1379.png,mask_1379.png,data/dataset/train/images\image_1379.png,data/dataset/train/masks\mask_1379.png,29772,862,128,128,4,PNG
train,image_1382.png,mask_1382.png,data/dataset/train/images\image_1382.png,data/dataset/train/masks\mask_1382.png,28073,778,128,128,4,PNG
train,image_139.png,mask_139.png,data/dataset/train/images\image_139.png,data/dataset/train/masks\mask_139.png,28517,772,128,128,4,PNG
train,image_1390.png,mask_1390.png,data/dataset/train/images\image_1390.png,data/dataset/train/masks\mask_1390.png,30428,943,128,128,4,PNG
train,image_140.png,mask_140.png,data/dataset/train/images\image_140.png,data/dataset/train/masks\mask_140.png,29727,797,128,128,4,PNG
train,image_1404.png,mask_1404.png,data/dataset/train/images\image_1404.png,data/dataset/train/masks\mask_1404.png,26035,692,128,128,4,PNG
train,image_1405.png,mask_1405.png,data/dataset/train/images\image_1405.png,data/dataset/train/masks\mask_1405.png,28351,591,128,128,4,PNG
train,image_1406.png,mask_1406.png,data/dataset/train/images\image_1406.png,data/dataset/train/masks\mask_1406.png,25190,824,128,128,4,PNG
train,image_1409.png,mask_1409.png,data/dataset/train/images\image_1409.png,data/dataset/train/masks\mask_1409.png,29234,956,128,128,4,PNG
train,image_1410.png,mask_1410.png,data/dataset/train/images\image_1410.png,data/dataset/train/masks\mask_1410.png,29684,1098,128,128,4,PNG
train,image_1411.png,mask_1411.png,data/dataset/train/images\image_1411.png,data/dataset/train/masks\mask_1411.png,28148,1000,128,128,4,PNG
train,image_1419.png,mask_1419.png,data/dataset/train/images\image_1419.png,data/dataset/train/masks\mask_1419.png,28840,531,128,128,4,PNG
train,image_142.png,mask_142.png,data/dataset/train/images\image_142.png,data/dataset/train/masks\mask_142.png,29115,642,128,128,4,PNG
train,image_1421.png,mask_1421.png,data/dataset/train/images\image_1421.png,data/dataset/train/masks\mask_1421.png,26246,842,128,128,4,PNG
train,image_1422.png,mask_1422.png,data/dataset/train/images\image_1422.png,data/dataset/train/masks\mask_1422.png,27598,539,128,128,4,PNG
train,image_1423.png,mask_1423.png,data/dataset/train/images\image_1423.png,data/dataset/train/masks\mask_1423.png,29271,865,128,128,4,PNG
train,image_1425.png,mask_1425.png,data/dataset/train/images\image_1425.png,data/dataset/train/masks\mask_1425.png,29919,628,128,128,4,PNG
train,image_1426.png,mask_1426.png,data/dataset/train/images\image_1426.png,data/dataset/train/masks\mask_1426.png,28486,579,128,128,4,PNG
train,image_1428.png,mask_1428.png,data/dataset/train/images\image_1428.png,data/dataset/train/masks\mask_1428.png,28135,533,128,128,4,PNG
train,image_1429.png,mask_1429.png,data/dataset/train/images\image_1429.png,data/dataset/train/masks\mask_1429.png,28892,604,128,128,4,PNG
