report_id,timestamp,latitude,longitude,incident_type,severity,description,photo_path,status,reporter_name,infrastructure_affected,road_blocked,reviewer_notes,verified_at
REP-6126309D,2026-08-21 21:15:12,25.5788,91.8933,SLOPE_FAILURE,HIGH,Debris observed across road shoulder on Shillong bypass,,VERIFIED,Field Officer K. Sharma,NH-6 Bypass,True,Geotechnical team validated active slip plane.,2026-08-21 21:15:12
REP-92FFFFEC,2026-08-21 21:17:53,25.5788,91.8933,Crack,HIGH,Pytest verification observation report,,PENDING_VERIFICATION,Citizen / Field Engineer,Road / Slope Transit,False,,
REP-323C6F56,2026-08-21 21:17:53,25.5788,91.8933,SLOPE_FAILURE,HIGH,Debris observed across road shoulder on Shillong bypass,,VERIFIED,Field Officer K. Sharma,NH-6 Bypass,True,Geotechnical team validated active slip plane.,2026-08-21 21:17:53
REP-CFDAA45C,2026-08-21 21:18:00,25.5788,91.8933,Landslide,HIGH,Test verification report,,PENDING_VERIFICATION,Citizen / Field Engineer,Road / Slope Transit,False,,
REP-37E0245E,2026-08-21 21:21:54,25.5788,91.8933,Crack,HIGH,Pytest verification observation report,,PENDING_VERIFICATION,Citizen / Field Engineer,Road / Slope Transit,False,,
REP-B6431BEE,2026-08-21 21:21:55,25.5788,91.8933,SLOPE_FAILURE,HIGH,Debris observed across road shoulder on Shillong bypass,,VERIFIED,Field Officer K. Sharma,NH-6 Bypass,True,Geotechnical team validated active slip plane.,2026-08-21 21:21:55
REP-4353D4C8,2026-08-21 21:22:17,25.5788,91.8933,Crack,HIGH,Pytest verification observation report,,PENDING_VERIFICATION,Citizen / Field Engineer,Road / Slope Transit,False,,
REP-97468C60,2026-08-21 21:22:17,25.5788,91.8933,SLOPE_FAILURE,HIGH,Debris observed across road shoulder on Shillong bypass,,VERIFIED,Field Officer K. Sharma,NH-6 Bypass,True,Geotechnical team validated active slip plane.,2026-08-21 21:22:17
REP-D8E26180,2026-08-21 21:22:26,25.5788,91.8933,Landslide,HIGH,Test verification report,,PENDING_VERIFICATION,Citizen / Field Engineer,Road / Slope Transit,False,,
REP-9C69E49B,2026-08-21 21:26:47,25.5788,91.8933,Crack,HIGH,Pytest verification observation report,,PENDING_VERIFICATION,Citizen / Field Engineer,Road / Slope Transit,False,,
REP-B2B67937,2026-08-21 21:26:48,25.5788,91.8933,SLOPE_FAILURE,HIGH,Debris observed across road shoulder on Shillong bypass,,VERIFIED,Field Officer K. Sharma,NH-6 Bypass,True,Geotechnical team validated active slip plane.,2026-08-21 21:26:48
REP-9FDE19E2,2026-08-21 21:26:54,25.5788,91.8933,Landslide,HIGH,Test verification report,,PENDING_VERIFICATION,Citizen / Field Engineer,Road / Slope Transit,False,,
REP-85D51850,2026-08-21 21:31:19,25.5788,91.8933,Crack,HIGH,Pytest verification observation report,,PENDING_VERIFICATION,Citizen / Field Engineer,Road / Slope Transit,False,,
REP-7D2A1BC2,2026-08-21 21:31:20,25.5788,91.8933,SLOPE_FAILURE,HIGH,Debris observed across road shoulder on Shillong bypass,,VERIFIED,Field Officer K. Sharma,NH-6 Bypass,True,Geotechnical team validated active slip plane.,2026-08-21 21:31:20
REP-7D439D0A,2026-08-21 21:31:42,25.5788,91.8933,Landslide,HIGH,Test verification report,,PENDING_VERIFICATION,Citizen / Field Engineer,Road / Slope Transit,False,,
REP-FF6F7312,2026-08-21 21:34:22,25.5788,91.8933,Crack,HIGH,Pytest verification observation report,,PENDING_VERIFICATION,Citizen / Field Engineer,Road / Slope Transit,False,,
REP-18AA18AD,2026-08-21 21:34:22,25.5788,91.8933,SLOPE_FAILURE,HIGH,Debris observed across road shoulder on Shillong bypass,,VERIFIED,Field Officer K. Sharma,NH-6 Bypass,True,Geotechnical team validated active slip plane.,2026-08-21 21:34:22
REP-AFF220BD,2026-08-21 21:34:31,25.5788,91.8933,Landslide,HIGH,Test verification report,,PENDING_VERIFICATION,Citizen / Field Engineer,Road / Slope Transit,False,,
REP-3AB6D063,2026-08-21 21:54:22,25.5788,91.8933,Crack,HIGH,Pytest verification observation report,,PENDING_VERIFICATION,Citizen / Field Engineer,Road / Slope Transit,False,,
REP-270EE860,2026-08-21 21:54:22,25.5788,91.8933,SLOPE_FAILURE,HIGH,Debris observed across road shoulder on Shillong bypass,,VERIFIED,Field Officer K. Sharma,NH-6 Bypass,True,Geotechnical team validated active slip plane.,2026-08-21 21:54:22
REP-2A52CF58,2026-08-21 21:54:30,25.5788,91.8933,Landslide,HIGH,Test verification report,None,PENDING_VERIFICATION,Citizen / Field Engineer,Road / Slope Transit,False,,
