scene_id,manifest_date,verified_date,manifest_platform,verified_platform,relative_orbit,flight_direction,mode,product_type,polarization,manifest_product_id,verified_product_id,verified_download_url,metadata_match,notes
SCENE_11,2021-09-22,2021-09-19,SENTINEL-1B,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,SEN_IW_SLC__1SDV_20210922T001150_20210922T001218_000113_00ABCD_1234,S1A_IW_SLC__1SDV_20210919T001227_20210919T001254_039743_04B33F_8EBC,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20210919T001227_20210919T001254_039743_04B33F_8EBC.zip,MISMATCH,"Platform Mismatch: Manifest lists SENTINEL-1B, but actual ASF DAAC record is SENTINEL-1A. | Date Offset: Manifest date 2021-09-22 vs nearest actual ASF date 2021-09-19. | Product ID Mismatch: Manifest ID 'SEN_IW_SLC__1SDV_20210922T001150_20210922T001218_000113_00ABCD_1234' vs actual ASF granule 'S1A_IW_SLC__1SDV_20210919T001227_20210919T001254_039743_04B33F_8EBC'."
SCENE_12,2022-02-13,2022-02-10,SENTINEL-1D,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,SEN_IW_SLC__1SDV_20220213T001150_20220213T001218_000125_00ABCD_1234,S1A_IW_SLC__1SDV_20220210T001224_20220210T001251_041843_04FB36_67A0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220210T001224_20220210T001251_041843_04FB36_67A0.zip,MISMATCH,"Platform Mismatch: Manifest lists SENTINEL-1D, but actual ASF DAAC record is SENTINEL-1A. | Date Offset: Manifest date 2022-02-13 vs nearest actual ASF date 2022-02-10. | Product ID Mismatch: Manifest ID 'SEN_IW_SLC__1SDV_20220213T001150_20220213T001218_000125_00ABCD_1234' vs actual ASF granule 'S1A_IW_SLC__1SDV_20220210T001224_20220210T001251_041843_04FB36_67A0'."
SCENE_13,2022-06-25,2022-06-22,SENTINEL-1A,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,SEN_IW_SLC__1SDV_20220625T001150_20220625T001218_000136_00ABCD_1234,S1A_IW_SLC__1SDV_20220622T001229_20220622T001256_043768_0539B2_F403,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20220622T001229_20220622T001256_043768_0539B2_F403.zip,MISMATCH,Date Offset: Manifest date 2022-06-25 vs nearest actual ASF date 2022-06-22. | Product ID Mismatch: Manifest ID 'SEN_IW_SLC__1SDV_20220625T001150_20220625T001218_000136_00ABCD_1234' vs actual ASF granule 'S1A_IW_SLC__1SDV_20220622T001229_20220622T001256_043768_0539B2_F403'.
SCENE_14,2022-11-16,2022-11-13,SENTINEL-1A,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,SEN_IW_SLC__1SDV_20221116T001150_20221116T001218_000148_00ABCD_1234,S1A_IW_SLC__1SDV_20221113T001247_20221113T001314_045868_057CDF_65D9,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20221113T001247_20221113T001314_045868_057CDF_65D9.zip,MISMATCH,Date Offset: Manifest date 2022-11-16 vs nearest actual ASF date 2022-11-13. | Product ID Mismatch: Manifest ID 'SEN_IW_SLC__1SDV_20221116T001150_20221116T001218_000148_00ABCD_1234' vs actual ASF granule 'S1A_IW_SLC__1SDV_20221113T001247_20221113T001314_045868_057CDF_65D9'.
SCENE_15,2023-03-28,2023-03-25,SENTINEL-1D,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,SEN_IW_SLC__1SDV_20230328T001150_20230328T001218_000159_00ABCD_1234,S1A_IW_SLC__1SDV_20230325T001244_20230325T001311_047793_05BDF2_EB0C,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230325T001244_20230325T001311_047793_05BDF2_EB0C.zip,MISMATCH,"Platform Mismatch: Manifest lists SENTINEL-1D, but actual ASF DAAC record is SENTINEL-1A. | Date Offset: Manifest date 2023-03-28 vs nearest actual ASF date 2023-03-25. | Product ID Mismatch: Manifest ID 'SEN_IW_SLC__1SDV_20230328T001150_20230328T001218_000159_00ABCD_1234' vs actual ASF granule 'S1A_IW_SLC__1SDV_20230325T001244_20230325T001311_047793_05BDF2_EB0C'."
SCENE_16,2023-08-07,2023-08-16,SENTINEL-1A,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,SEN_IW_SLC__1SDV_20230807T001150_20230807T001218_000170_00ABCD_1234,S1A_IW_SLC__1SDV_20230816T001251_20230816T001318_049893_060055_DAC1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230816T001251_20230816T001318_049893_060055_DAC1.zip,MISMATCH,Date Offset: Manifest date 2023-08-07 vs nearest actual ASF date 2023-08-16. | Product ID Mismatch: Manifest ID 'SEN_IW_SLC__1SDV_20230807T001150_20230807T001218_000170_00ABCD_1234' vs actual ASF granule 'S1A_IW_SLC__1SDV_20230816T001251_20230816T001318_049893_060055_DAC1'.
SCENE_17,2023-12-29,2023-12-26,SENTINEL-1A,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,SEN_IW_SLC__1SDV_20231229T001150_20231229T001218_000182_00ABCD_1234,S1A_IW_SLC__1SDV_20231226T001250_20231226T001317_051818_06426E_7762,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20231226T001250_20231226T001317_051818_06426E_7762.zip,MISMATCH,Date Offset: Manifest date 2023-12-29 vs nearest actual ASF date 2023-12-26. | Product ID Mismatch: Manifest ID 'SEN_IW_SLC__1SDV_20231229T001150_20231229T001218_000182_00ABCD_1234' vs actual ASF granule 'S1A_IW_SLC__1SDV_20231226T001250_20231226T001317_051818_06426E_7762'.
SCENE_18,2024-05-09,2024-05-06,SENTINEL-1D,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,SEN_IW_SLC__1SDV_20240509T001150_20240509T001218_000193_00ABCD_1234,S1A_IW_SLC__1SDV_20240506T001250_20240506T001317_053743_0687A1_9FA2,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20240506T001250_20240506T001317_053743_0687A1_9FA2.zip,MISMATCH,"Platform Mismatch: Manifest lists SENTINEL-1D, but actual ASF DAAC record is SENTINEL-1A. | Date Offset: Manifest date 2024-05-09 vs nearest actual ASF date 2024-05-06. | Product ID Mismatch: Manifest ID 'SEN_IW_SLC__1SDV_20240509T001150_20240509T001218_000193_00ABCD_1234' vs actual ASF granule 'S1A_IW_SLC__1SDV_20240506T001250_20240506T001317_053743_0687A1_9FA2'."
SCENE_19,2024-09-30,2024-09-27,SENTINEL-1D,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,SEN_IW_SLC__1SDV_20240930T001150_20240930T001218_000205_00ABCD_1234,S1A_IW_SLC__1SDV_20240927T001248_20240927T001315_055843_06D317_D8F1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20240927T001248_20240927T001315_055843_06D317_D8F1.zip,MISMATCH,"Platform Mismatch: Manifest lists SENTINEL-1D, but actual ASF DAAC record is SENTINEL-1A. | Date Offset: Manifest date 2024-09-30 vs nearest actual ASF date 2024-09-27. | Product ID Mismatch: Manifest ID 'SEN_IW_SLC__1SDV_20240930T001150_20240930T001218_000205_00ABCD_1234' vs actual ASF granule 'S1A_IW_SLC__1SDV_20240927T001248_20240927T001315_055843_06D317_D8F1'."
SCENE_20,2025-02-09,2025-02-06,SENTINEL-1A,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,SEN_IW_SLC__1SDV_20250209T001150_20250209T001218_000216_00ABCD_1234,S1A_IW_SLC__1SDV_20250206T001242_20250206T001309_057768_071F62_A2E1,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20250206T001242_20250206T001309_057768_071F62_A2E1.zip,MISMATCH,Date Offset: Manifest date 2025-02-09 vs nearest actual ASF date 2025-02-06. | Product ID Mismatch: Manifest ID 'SEN_IW_SLC__1SDV_20250209T001150_20250209T001218_000216_00ABCD_1234' vs actual ASF granule 'S1A_IW_SLC__1SDV_20250206T001242_20250206T001309_057768_071F62_A2E1'.
SCENE_21,2025-06-21,2025-06-18,SENTINEL-1D,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,SEN_IW_SLC__1SDV_20250621T001150_20250621T001218_000227_00ABCD_1234,S1A_IW_SLC__1SDV_20250618T001240_20250618T001307_059693_07698D_D0A0,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20250618T001240_20250618T001307_059693_07698D_D0A0.zip,MISMATCH,"Platform Mismatch: Manifest lists SENTINEL-1D, but actual ASF DAAC record is SENTINEL-1A. | Date Offset: Manifest date 2025-06-21 vs nearest actual ASF date 2025-06-18. | Product ID Mismatch: Manifest ID 'SEN_IW_SLC__1SDV_20250621T001150_20250621T001218_000227_00ABCD_1234' vs actual ASF granule 'S1A_IW_SLC__1SDV_20250618T001240_20250618T001307_059693_07698D_D0A0'."
SCENE_22,2025-11-12,2025-11-09,SENTINEL-1D,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,SEN_IW_SLC__1SDV_20251112T001150_20251112T001218_000239_00ABCD_1234,S1A_IW_SLC__1SDV_20251109T001239_20251109T001306_061793_07B95E_FDCF,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20251109T001239_20251109T001306_061793_07B95E_FDCF.zip,MISMATCH,"Platform Mismatch: Manifest lists SENTINEL-1D, but actual ASF DAAC record is SENTINEL-1A. | Date Offset: Manifest date 2025-11-12 vs nearest actual ASF date 2025-11-09. | Product ID Mismatch: Manifest ID 'SEN_IW_SLC__1SDV_20251112T001150_20251112T001218_000239_00ABCD_1234' vs actual ASF granule 'S1A_IW_SLC__1SDV_20251109T001239_20251109T001306_061793_07B95E_FDCF'."
SCENE_23,2026-03-24,2026-03-21,SENTINEL-1A,SENTINEL-1A,121,DESCENDING,IW,SLC,VV+VH,SEN_IW_SLC__1SDV_20260324T001150_20260324T001218_000250_00ABCD_1234,S1A_IW_SLC__1SDV_20260321T001231_20260321T001258_063718_0802B9_20D9,https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20260321T001231_20260321T001258_063718_0802B9_20D9.zip,MISMATCH,Date Offset: Manifest date 2026-03-24 vs nearest actual ASF date 2026-03-21. | Product ID Mismatch: Manifest ID 'SEN_IW_SLC__1SDV_20260324T001150_20260324T001218_000250_00ABCD_1234' vs actual ASF granule 'S1A_IW_SLC__1SDV_20260321T001231_20260321T001258_063718_0802B9_20D9'.
SCENE_24,2026-08-15,2026-08-19,SENTINEL-1A,SENTINEL-1D,121,DESCENDING,IW,SLC,VV+VH,SEN_IW_SLC__1SDV_20260815T001150_20260815T001218_000262_00ABCD_1234,S1D_IW_SLC__1SDV_20260819T001150_20260819T001218_004187_007ABD_3797,https://datapool.asf.alaska.edu/SLC/SD/S1D_IW_SLC__1SDV_20260819T001150_20260819T001218_004187_007ABD_3797.zip,MISMATCH,"Platform Mismatch: Manifest lists SENTINEL-1A, but actual ASF DAAC record is SENTINEL-1D. | Date Offset: Manifest date 2026-08-15 vs nearest actual ASF date 2026-08-19. | Product ID Mismatch: Manifest ID 'SEN_IW_SLC__1SDV_20260815T001150_20260815T001218_000262_00ABCD_1234' vs actual ASF granule 'S1D_IW_SLC__1SDV_20260819T001150_20260819T001218_004187_007ABD_3797'."
