scene_id,acquisition_date,product_id,file_path,file_size_bytes,download_status,verification_status,checksum_status,notes
SCENE_13,2022-06-25,SEN_IW_SLC__1SDV_20220625T001150_20220625T001218_000136_00ABCD_1234,data\insar\raw\SEN_IW_SLC__1SDV_20220625T001150_20220625T001218_000136_00ABCD_1234.zip,0,PENDING_AUTHENTICATION,UNVERIFIED,PENDING,"Sentinel-1 SENTINEL-1A IW SLC RelOrbit 121 (Desc, VV+VH). Download URL: https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20220625T001150_20220625T001218_000136_00ABCD_1234.zip"
SCENE_14,2022-11-16,SEN_IW_SLC__1SDV_20221116T001150_20221116T001218_000148_00ABCD_1234,data\insar\raw\SEN_IW_SLC__1SDV_20221116T001150_20221116T001218_000148_00ABCD_1234.zip,0,PENDING_AUTHENTICATION,UNVERIFIED,PENDING,"Sentinel-1 SENTINEL-1A IW SLC RelOrbit 121 (Desc, VV+VH). Download URL: https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20221116T001150_20221116T001218_000148_00ABCD_1234.zip"
SCENE_15,2023-03-28,SEN_IW_SLC__1SDV_20230328T001150_20230328T001218_000159_00ABCD_1234,data\insar\raw\SEN_IW_SLC__1SDV_20230328T001150_20230328T001218_000159_00ABCD_1234.zip,0,PENDING_AUTHENTICATION,UNVERIFIED,PENDING,"Sentinel-1 SENTINEL-1D IW SLC RelOrbit 121 (Desc, VV+VH). Download URL: https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20230328T001150_20230328T001218_000159_00ABCD_1234.zip"
SCENE_16,2023-08-07,SEN_IW_SLC__1SDV_20230807T001150_20230807T001218_000170_00ABCD_1234,data\insar\raw\SEN_IW_SLC__1SDV_20230807T001150_20230807T001218_000170_00ABCD_1234.zip,0,PENDING_AUTHENTICATION,UNVERIFIED,PENDING,"Sentinel-1 SENTINEL-1A IW SLC RelOrbit 121 (Desc, VV+VH). Download URL: https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20230807T001150_20230807T001218_000170_00ABCD_1234.zip"
SCENE_17,2023-12-29,SEN_IW_SLC__1SDV_20231229T001150_20231229T001218_000182_00ABCD_1234,data\insar\raw\SEN_IW_SLC__1SDV_20231229T001150_20231229T001218_000182_00ABCD_1234.zip,0,PENDING_AUTHENTICATION,UNVERIFIED,PENDING,"Sentinel-1 SENTINEL-1A IW SLC RelOrbit 121 (Desc, VV+VH). Download URL: https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20231229T001150_20231229T001218_000182_00ABCD_1234.zip"
SCENE_18,2024-05-09,SEN_IW_SLC__1SDV_20240509T001150_20240509T001218_000193_00ABCD_1234,data\insar\raw\SEN_IW_SLC__1SDV_20240509T001150_20240509T001218_000193_00ABCD_1234.zip,0,PENDING_AUTHENTICATION,UNVERIFIED,PENDING,"Sentinel-1 SENTINEL-1D IW SLC RelOrbit 121 (Desc, VV+VH). Download URL: https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20240509T001150_20240509T001218_000193_00ABCD_1234.zip"
SCENE_19,2024-09-30,SEN_IW_SLC__1SDV_20240930T001150_20240930T001218_000205_00ABCD_1234,data\insar\raw\SEN_IW_SLC__1SDV_20240930T001150_20240930T001218_000205_00ABCD_1234.zip,0,PENDING_AUTHENTICATION,UNVERIFIED,PENDING,"Sentinel-1 SENTINEL-1D IW SLC RelOrbit 121 (Desc, VV+VH). Download URL: https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20240930T001150_20240930T001218_000205_00ABCD_1234.zip"
SCENE_20,2025-02-09,SEN_IW_SLC__1SDV_20250209T001150_20250209T001218_000216_00ABCD_1234,data\insar\raw\SEN_IW_SLC__1SDV_20250209T001150_20250209T001218_000216_00ABCD_1234.zip,0,PENDING_AUTHENTICATION,UNVERIFIED,PENDING,"Sentinel-1 SENTINEL-1A IW SLC RelOrbit 121 (Desc, VV+VH). Download URL: https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20250209T001150_20250209T001218_000216_00ABCD_1234.zip"
SCENE_21,2025-06-21,SEN_IW_SLC__1SDV_20250621T001150_20250621T001218_000227_00ABCD_1234,data\insar\raw\SEN_IW_SLC__1SDV_20250621T001150_20250621T001218_000227_00ABCD_1234.zip,0,PENDING_AUTHENTICATION,UNVERIFIED,PENDING,"Sentinel-1 SENTINEL-1D IW SLC RelOrbit 121 (Desc, VV+VH). Download URL: https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20250621T001150_20250621T001218_000227_00ABCD_1234.zip"
SCENE_22,2025-11-12,SEN_IW_SLC__1SDV_20251112T001150_20251112T001218_000239_00ABCD_1234,data\insar\raw\SEN_IW_SLC__1SDV_20251112T001150_20251112T001218_000239_00ABCD_1234.zip,0,PENDING_AUTHENTICATION,UNVERIFIED,PENDING,"Sentinel-1 SENTINEL-1D IW SLC RelOrbit 121 (Desc, VV+VH). Download URL: https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20251112T001150_20251112T001218_000239_00ABCD_1234.zip"
SCENE_23,2026-03-24,SEN_IW_SLC__1SDV_20260324T001150_20260324T001218_000250_00ABCD_1234,data\insar\raw\SEN_IW_SLC__1SDV_20260324T001150_20260324T001218_000250_00ABCD_1234.zip,0,PENDING_AUTHENTICATION,UNVERIFIED,PENDING,"Sentinel-1 SENTINEL-1A IW SLC RelOrbit 121 (Desc, VV+VH). Download URL: https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260324T001150_20260324T001218_000250_00ABCD_1234.zip"
SCENE_24,2026-08-15,SEN_IW_SLC__1SDV_20260815T001150_20260815T001218_000262_00ABCD_1234,data\insar\raw\SEN_IW_SLC__1SDV_20260815T001150_20260815T001218_000262_00ABCD_1234.zip,0,PENDING_AUTHENTICATION,UNVERIFIED,PENDING,"Sentinel-1 SENTINEL-1A IW SLC RelOrbit 121 (Desc, VV+VH). Download URL: https://datapool.asf.alaska.edu/SLC/SA/SEN_IW_SLC__1SDV_20260815T001150_20260815T001218_000262_00ABCD_1234.zip"
